,Team,Opponent,Home_Indicator,Full_Home_Goals,FTHG_last2_avg,FTHG_last3_avg,FTHG_last4_avg,FTHG_last5_avg,Full_Away_Goals,FTAG_last2_avg,FTAG_last3_avg,FTAG_last4_avg,FTAG_last5_avg,Full_Results,Standing,Winning_Probability,Winning_Probability_last5,Home_Win_Prob,Away_Win_Prob,Half_Home_Goals,HTHG_last2_avg,HTHG_last3_avg,HTHG_last4_avg,HTHG_last5_avg,Half_Away_Goals,HTAG_last2_avg,HTAG_last3_avg,HTAG_last4_avg,HTAG_last5_avg,Home_Shots_on_Target,HST_last2_avg,HST_last3_avg,HST_last4_avg,HST_last5_avg,Away_Shots_on_Target,AST_last2_avg,AST_last3_avg,AST_last4_avg,AST_last5_avg,Away_Shots,Home_Shots
28,Aston Villa,Reading,0,0.0,1.0,1.3333333333333333,1.75,1.6,1.0,1.0,1.0,1.5,1.6,A,24,0.17857142857142858,0.2,0.21428571428571427,0.14285714285714285,0.0,0.5,0.3333333333333333,0.5,0.4,1.0,0.5,0.3333333333333333,0.75,1.0,5.0,9.5,7.0,8.5,7.6,12.0,7.5,7.333333333333333,6.5,6.6,20.0,10.0
29,Aston Villa,QPR,1,1.0,0.5,1.0,1.25,1.6,2.0,1.5,1.3333333333333333,1.25,1.6,A,27,0.20689655172413793,0.4,0.21428571428571427,0.2,1.0,0.5,0.6666666666666666,0.5,0.6,2.0,1.5,1.0,0.75,1.0,4.0,4.5,7.666666666666667,6.25,7.6,7.0,9.5,7.333333333333333,7.25,6.6,18.0,10.0
30,Aston Villa,Liverpool,1,3.0,2.0,1.3333333333333333,1.5,1.6,2.0,2.0,1.6666666666666667,1.5,1.4,H,30,0.23333333333333334,0.6,0.26666666666666666,0.2,1.0,1.0,0.6666666666666666,0.75,0.6,1.0,1.5,1.3333333333333333,1.0,0.8,6.0,5.0,5.0,7.25,6.2,11.0,9.0,10.0,8.25,8.0,18.0,10.0
31,Aston Villa,Stoke,0,1.0,2.0,1.6666666666666667,1.25,1.4,2.0,2.0,2.0,1.75,1.6,A,30,0.22580645161290322,0.4,0.25,0.2,1.0,1.0,1.0,0.75,0.8,0.0,0.5,1.0,1.0,0.8,7.0,6.5,5.666666666666667,5.5,7.2,12.0,11.5,10.0,10.5,9.0,16.0,10.0
32,Aston Villa,Fulham,1,1.0,1.0,1.6666666666666667,1.5,1.2,3.0,2.5,2.3333333333333335,2.25,2.0,A,33,0.25,0.6,0.25,0.25,0.0,0.5,0.6666666666666666,0.75,0.6,1.0,0.5,0.6666666666666666,1.0,1.0,2.0,4.5,5.0,4.75,4.8,8.0,10.0,10.333333333333334,9.5,10.0,11.0,6.0
33,Aston Villa,Man United,0,1.0,1.0,1.0,1.5,1.4,1.0,2.0,2.0,2.0,2.0,D,34,0.24242424242424243,0.6,0.23529411764705882,0.25,0.0,0.0,0.3333333333333333,0.5,0.6,0.0,0.5,0.3333333333333333,0.5,0.8,7.0,4.5,5.333333333333333,5.5,5.2,3.0,5.5,7.666666666666667,8.5,8.2,8.0,15.0
34,Aston Villa,Sunderland,1,3.0,2.0,1.6666666666666667,1.5,1.8,0.0,0.5,1.3333333333333333,1.5,1.6,H,34,0.23529411764705882,0.4,0.23529411764705882,0.23529411764705882,3.0,1.5,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.25,0.4,5.0,6.0,4.666666666666667,5.25,5.4,5.0,4.0,5.333333333333333,7.0,7.8,8.0,10.0
35,Aston Villa,Norwich,0,6.0,4.5,3.3333333333333335,2.75,2.4,1.0,0.5,0.6666666666666666,1.25,1.4,H,37,0.2571428571428571,0.4,0.2777777777777778,0.23529411764705882,2.0,2.5,1.6666666666666667,1.25,1.2,1.0,0.5,0.3333333333333333,0.5,0.4,15.0,10.0,9.0,7.25,7.2,4.0,4.5,4.0,5.0,6.4,7.0,18.0
36,Aston Villa,Chelsea,1,1.0,3.5,3.3333333333333335,2.75,2.4,2.0,1.5,1.0,1.0,1.4,A,40,0.2777777777777778,0.6,0.2777777777777778,0.2777777777777778,0.0,1.0,1.6666666666666667,1.25,1.0,0.0,0.5,0.3333333333333333,0.25,0.4,4.0,9.5,8.0,7.75,6.6,6.0,5.0,5.0,4.5,5.2,12.0,9.0
37,Aston Villa,Wigan,0,1.0,1.0,2.6666666666666665,2.75,2.4,2.0,2.0,1.6666666666666667,1.25,1.2,A,40,0.2702702702702703,0.4,0.2631578947368421,0.2777777777777778,1.0,0.5,1.0,1.5,1.2,0.0,0.0,0.3333333333333333,0.25,0.2,7.0,5.5,8.666666666666666,7.75,7.6,8.0,7.0,6.0,5.75,5.2,11.0,12.0
0,West Brom,Liverpool,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,West Brom,Tottenham,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,15.0
2,West Brom,Everton,1,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,D,4,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,10.0,18.0
3,West Brom,Fulham,0,2.0,1.5,2.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,H,7,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,9.333333333333334,0.0,0.0,5.0,5.0,5.666666666666667,0.0,0.0,12.0,14.0
4,West Brom,Reading,1,3.0,2.5,2.0,2.25,0.0,0.0,0.0,0.3333333333333333,0.25,0.0,H,7,0.5,0.0,1.0,0.0,2.0,1.0,0.6666666666666666,0.75,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,10.666666666666666,10.5,0.0,8.0,6.5,6.0,6.25,0.0,10.0,23.0
5,West Brom,Aston Villa,0,1.0,2.0,2.0,1.75,2.0,0.0,0.0,0.0,0.25,0.2,H,10,0.6,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.6,0.0,0.0,0.0,0.0,0.0,4.0,9.0,8.666666666666666,9.0,9.2,1.0,4.5,4.666666666666667,4.75,5.2,8.0,9.0
6,West Brom,QPR,1,1.0,1.0,1.6666666666666667,1.75,1.6,1.0,0.5,0.3333333333333333,0.25,0.4,D,11,0.5,0.4,1.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.0,6.0,8.666666666666666,8.5,8.8,7.0,4.0,5.333333333333333,5.25,5.2,14.0,19.0
7,West Brom,Man City,1,3.0,2.0,1.6666666666666667,2.0,2.0,2.0,1.5,1.0,0.75,0.6,H,14,0.5714285714285714,0.6,1.0,0.0,2.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.5,0.3333333333333333,0.25,0.2,8.0,8.0,6.666666666666667,8.5,8.4,6.0,6.5,4.666666666666667,5.5,5.4,13.0,13.0
8,West Brom,Newcastle,0,1.0,2.0,1.6666666666666667,1.5,1.8,2.0,2.0,1.6666666666666667,1.25,1.0,A,14,0.5,0.4,0.8,0.0,0.0,1.0,0.6666666666666666,0.5,0.8,0.0,0.5,0.3333333333333333,0.25,0.2,8.0,8.0,8.0,7.0,8.4,13.0,9.5,8.666666666666666,6.75,7.0,21.0,16.0
9,West Brom,Southampton,1,2.0,1.5,2.0,1.75,1.6,1.0,1.5,1.6666666666666667,1.5,1.2,H,14,0.4444444444444444,0.4,0.8,0.0,1.0,0.5,1.0,0.75,0.6,0.0,0.0,0.3333333333333333,0.25,0.2,6.0,7.0,7.333333333333333,7.5,6.8,4.0,8.5,7.666666666666667,7.5,6.2,8.0,10.0
10,West Brom,Wigan,0,2.0,2.0,1.6666666666666667,2.0,1.8,0.0,0.5,1.0,1.25,1.2,H,17,0.5,0.4,0.8333333333333334,0.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.25,0.2,6.0,6.0,6.666666666666667,7.0,7.2,5.0,4.5,7.333333333333333,7.0,7.0,9.0,16.0
11,West Brom,Chelsea,1,1.0,1.5,1.6666666666666667,1.5,1.8,2.0,1.0,1.0,1.25,1.4,A,20,0.5454545454545454,0.6,0.8333333333333334,0.2,1.0,1.0,1.0,0.75,1.0,2.0,1.0,0.6666666666666666,0.5,0.6,6.0,6.0,6.0,6.5,6.8,4.0,4.5,4.333333333333333,6.5,6.4,7.0,14.0
12,West Brom,Sunderland,0,2.0,1.5,1.6666666666666667,1.75,1.6,1.0,1.5,1.0,1.0,1.2,H,23,0.5833333333333334,0.6,0.8571428571428571,0.2,1.0,1.0,1.0,1.0,0.8,1.0,1.5,1.0,0.75,0.6,6.0,6.0,6.0,6.0,6.4,12.0,8.0,7.0,6.25,7.6,19.0,8.0
13,West Brom,Swansea,0,2.0,2.0,1.6666666666666667,1.75,1.8,4.0,2.5,2.3333333333333335,1.75,1.6,A,26,0.6153846153846154,0.8,0.8571428571428571,0.3333333333333333,0.0,0.5,0.6666666666666666,0.75,0.8,2.0,1.5,1.6666666666666667,1.25,1.0,12.0,9.0,8.0,7.5,7.2,6.0,9.0,7.333333333333333,6.75,6.2,11.0,19.0
14,West Brom,Stoke,1,3.0,2.5,2.3333333333333335,2.0,2.0,1.0,2.5,2.0,2.0,1.6,H,26,0.5714285714285714,0.8,0.8571428571428571,0.2857142857142857,3.0,1.5,1.3333333333333333,1.25,1.2,1.0,1.5,1.3333333333333333,1.5,1.2,8.0,10.0,8.666666666666666,8.0,7.6,2.0,4.0,6.666666666666667,6.0,5.8,6.0,13.0
15,West Brom,Arsenal,0,0.0,1.5,1.6666666666666667,1.75,1.6,1.0,1.0,2.0,1.75,1.8,A,26,0.5333333333333333,0.6,0.75,0.2857142857142857,0.0,1.5,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.2,11.0,9.5,10.333333333333334,9.25,8.6,4.0,3.0,4.0,6.0,5.6,6.0,14.0
16,West Brom,West Ham,1,2.0,1.0,1.6666666666666667,1.75,1.8,0.0,0.5,0.6666666666666666,1.5,1.4,H,26,0.5,0.4,0.75,0.25,1.0,0.5,1.3333333333333333,1.0,1.0,0.0,0.0,0.3333333333333333,0.75,0.8,7.0,9.0,8.666666666666666,9.5,8.8,2.0,3.0,2.6666666666666665,3.5,5.2,7.0,16.0
17,West Brom,Norwich,1,0.0,1.0,0.6666666666666666,1.25,1.4,0.0,0.0,0.3333333333333333,0.5,1.2,D,27,0.47058823529411764,0.2,0.6666666666666666,0.25,0.0,0.5,0.3333333333333333,1.0,0.8,0.0,0.0,0.0,0.25,0.6,10.0,8.5,9.333333333333334,9.0,9.6,2.0,2.0,2.6666666666666665,2.5,3.2,10.0,19.0
18,West Brom,QPR,0,2.0,1.0,1.3333333333333333,1.0,1.4,1.0,0.5,0.3333333333333333,0.5,0.6,H,30,0.5,0.2,0.7,0.25,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,0.5,0.3333333333333333,0.25,0.4,8.0,9.0,8.333333333333334,9.0,8.8,4.0,3.0,2.6666666666666665,3.0,2.8,10.0,12.0
19,West Brom,Man United,0,1.0,1.5,1.0,1.25,1.0,2.0,1.5,1.0,0.75,0.8,A,33,0.5263157894736842,0.4,0.7,0.3333333333333333,0.0,0.5,0.3333333333333333,0.5,0.4,1.0,1.0,0.6666666666666666,0.5,0.4,8.0,8.0,8.666666666666666,8.25,8.8,6.0,5.0,4.0,3.5,3.6,12.0,18.0
20,West Brom,Fulham,1,2.0,1.5,1.6666666666666667,1.25,1.4,0.0,1.0,1.0,0.75,0.6,H,33,0.5,0.4,0.7,0.3,1.0,0.5,0.6666666666666666,0.5,0.6,0.0,0.5,0.6666666666666666,0.5,0.4,14.0,11.0,10.0,10.0,9.4,9.0,7.5,6.333333333333333,5.25,4.6,13.0,17.0
21,West Brom,Reading,0,1.0,1.5,1.3333333333333333,1.5,1.2,2.0,1.0,1.3333333333333333,1.25,1.0,A,33,0.47619047619047616,0.4,0.6363636363636364,0.3,0.0,0.5,0.3333333333333333,0.5,0.4,1.0,0.5,0.6666666666666666,0.75,0.6,10.0,12.0,10.666666666666666,10.0,10.0,5.0,7.0,6.666666666666667,6.0,5.2,10.0,17.0
22,West Brom,Aston Villa,1,3.0,2.0,2.0,1.75,1.8,2.0,2.0,1.3333333333333333,1.5,1.4,H,33,0.45454545454545453,0.4,0.6363636363636364,0.2727272727272727,0.0,0.0,0.3333333333333333,0.25,0.4,1.0,1.0,0.6666666666666666,0.75,0.8,7.0,8.5,10.333333333333334,9.75,9.4,6.0,5.5,6.666666666666667,6.5,6.0,11.0,7.0
